25 de Mayo,Córdoba,Córdoba,1
4 - 117 Ejército de los Andes,Mendoza,San Rafael,1
9088 IVM,Santa Fe,Firmat,1
AMSE Estación Limay,Río Negro,Cipoletti,1
AMSE Estación Limay,Río Negro,Cipolletti,1
Abraham Lincoln,Chubut,Comodoro Rivadavia,1
Abraham Lincoln School,Chubut,Comodoro Rivadavia,4
Adolfo Pérez Esquivel,Mendoza,Godoy Cruz,1
Agropecuaria,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,2
Agropecuaria Nº 1,Buenos Aires,Pehuajó,1
Agrotécnica Nº 327,Santa Fe,Bigand,1
"Agrotécnica Nº 327 ""Víctor A. Bigand""",Santa Fe,Bigand,1
Agrotécnica Nº327,Santa Fe,Bigand,1
"Agrotécnica Salesiana ""Don Bosco""",Buenos Aires,Uribelarrea,1
Agustiniano,Buenos Aires,Chilavert,5
Agustiniano,Buenos Aires,José León Suárez,1
Agustiniano,Buenos Aires,San Andrés,3
Agustiniano,Buenos Aires,San Martín,2
Agustiniano,Buenos Aires,Villa Ballester,2
Agustín Roscelli,Buenos Aires,La Plata,2
Alas,Buenos Aires,3 de Febrero,1
Alas,Buenos Aires,Caseros,2
Alas,Buenos Aires,Ciudad Jardín,4
Alas,Buenos Aires,El Palomar,1
Alas,Buenos Aires,Hurlingham,1
Alas,Buenos Aires,Palomar,1
Alas,Buenos Aires,Santos Lugares,2
Alas y Raíces,Misiones,Posadas,2
Albert Einstein,Buenos Aires,Mar del Plata,10
Albert Schweitzer,Buenos Aires,Mar del Plata,2
Alemana de Moreno,Buenos Aires,Moreno,1
Alemán de Temperley,Buenos Aires,Banfield,2
Alessandro Manzoni,Buenos Aires,San Isidro,2
Alessandro Marzoni,Buenos Aires,Villa Adelina,1
Almafuerte,Buenos Aires,Bernal,2
Anexo Escuela Técnica Dr. Juan G. Pujol,Corrientes,Saladas,1
Anglo Americano,Córdoba,Alta Gracia,8
Antonia María Verna,Santa Fe,Santa Fe,1
Argentina Modelo,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,6
Argentino Japonés,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,2
Armonía,Buenos Aires,Campana,2
Arturo Capdevila,Córdoba,General Baldissera,1
Arturo Illia,Buenos Aires,Mar del Plata,1
Arzruni,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,2
Asociación Cultural Pestalozzi,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,2
Asociación Escolar Alemana,Buenos Aires,Necochea,1
Astillero Río Santiago,Buenos Aires,La Plata,1
Asunción de la Virgen,Buenos Aires,Olivos,3
Ausonia,Buenos Aires,Quilmes,1
BAICA,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,1
BMDC,Buenos Aires,Gral. Rodríguez,1
Bachillerato Humanista Moderno de Salta,Salta,Salta Capital,1
Bachillerato de Bellas Artes,Buenos Aires,Villa Elisa,3
Ballester,Buenos Aires,Villa Ballester,1
Balmoral,Buenos Aires,Banfield,2
Bartolomé Mitre,Buenos Aires,Moreno,1
Bartolomé Mitre Day School,Buenos Aires,Castelar,1
Bartolomé Mitre Day School,Buenos Aires,Francisco Alvarez - Moreno,1
Bartolomé Mitre Day School,Buenos Aires,Francisco Álvarez,1
Bartolomé Mitre Day School,Buenos Aires,Merlo,3
Bartolomé Mitre Day School,Buenos Aires,Moreno,2
Bede,Buenos Aires,Pilar,1
Bede's Grammar School,Buenos Aires,Del Viso,1
Belgrano,Salta,Salta,2
Belgrano Day School,Ciudad Autónoma de Buenos Aires,C. A. de Buenos Aires,4
Belgrano Uno,Buenos Aires,Vicente López,2
Benito Lynch,Buenos Aires,La Plata,2
Bernardino Rivadavia I-14,Corrientes,Sauce,2
Big Ben School,Santiago del Estero,Santiago del Estero,2
Bosque del Plata,Buenos Aires,Gonnet,1
Brick Towers College,Buenos Aires,Del Viso,2
Brick Towers College,Buenos Aires,Pilar,1
C.E.P. Nº 5 Domingo F. Sarmiento,Chaco,Las Breñas,1
C.E.Rural Anexo IPEM Nro 80,Córdoba,Las Peñas Sud,1
CCI Alessandro Manzoni,Buenos Aires,Benavídez,2
CCI Alessandro Manzoni,Buenos Aires,Villa Adelina,1
CECIEMA,Santa Fe,Rosario,2
CEF San Buenaventura,Mendoza,Mendoza,2
CEM 123,Río Negro,Bariloche,1
CEM Nº 123,Río Negro,Bariloche,3
CEN 123,Río Negro,Bariloche,1
CEP Nº 26,Chaco,Las Breñas,1
CEP Nº 5,Chaco,Las Breñas,4
CEP Nº 75,Chaco,Corzuela,2
CET 12,Río Negro,Sierra Grande,1
CET Nº 2,Río Negro,Bariloche,2
CIATA,Buenos Aires,Morón,1
CPEM 12,Neuquén,Neuquén,2
CPEN Nº 12,Neuquén,Neuquén,1
