Provincia,Año,F,M
Buenos Aires,1998,2,5
Buenos Aires,1999,2,10
Buenos Aires,2001,0,3
Buenos Aires,2002,1,17
Buenos Aires,2003,2,19
Buenos Aires,2004,1,27
Buenos Aires,2005,2,17
Buenos Aires,2006,4,32
Buenos Aires,2007,5,31
Buenos Aires,2008,8,32
Buenos Aires,2009,6,26
Buenos Aires,2010,3,23
Buenos Aires,2011,7,20
Buenos Aires,2012,3,33
Buenos Aires,2013,5,27
Buenos Aires,2014,4,43
Catamarca,1998,0,0
Catamarca,1999,0,0
Catamarca,2001,0,0
Catamarca,2002,0,0
Catamarca,2003,0,0
Catamarca,2004,0,0
Catamarca,2005,0,0
Catamarca,2006,0,0
Catamarca,2007,0,0
Catamarca,2008,0,0
Catamarca,2009,0,0
Catamarca,2010,0,0
Catamarca,2011,0,0
Catamarca,2012,0,0
Catamarca,2013,0,0
Catamarca,2014,0,0
Chaco,1998,0,0
Chaco,1999,0,0
Chaco,2001,0,0
Chaco,2002,0,0
Chaco,2003,0,0
Chaco,2004,0,0
Chaco,2005,0,0
Chaco,2006,0,0
Chaco,2007,0,0
Chaco,2008,0,0
Chaco,2009,0,0
Chaco,2010,0,0
Chaco,2011,0,1
Chaco,2012,0,0
Chaco,2013,0,0
Chaco,2014,0,0
Chubut,1998,0,0
Chubut,1999,0,0
Chubut,2001,0,0
Chubut,2002,0,0
Chubut,2003,0,0
Chubut,2004,0,0
Chubut,2005,0,0
Chubut,2006,0,1
Chubut,2007,0,0
Chubut,2008,0,0
Chubut,2009,0,0
Chubut,2010,0,0
Chubut,2011,0,0
Chubut,2012,0,1
Chubut,2013,0,0
Chubut,2014,0,0
Ciudad Autónoma de Buenos Aires,1998,0,0
Ciudad Autónoma de Buenos Aires,1999,3,17
Ciudad Autónoma de Buenos Aires,2001,1,8
Ciudad Autónoma de Buenos Aires,2002,0,0
Ciudad Autónoma de Buenos Aires,2003,1,7
Ciudad Autónoma de Buenos Aires,2004,0,2
Ciudad Autónoma de Buenos Aires,2005,0,0
Ciudad Autónoma de Buenos Aires,2006,3,13
Ciudad Autónoma de Buenos Aires,2007,1,12
Ciudad Autónoma de Buenos Aires,2008,3,23
Ciudad Autónoma de Buenos Aires,2009,4,16
Ciudad Autónoma de Buenos Aires,2010,3,24
